,date,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,state,county,city,latitude,longitude,notes,fatalities,days_since_last
11,2021-01-15,Protests,Peaceful protest,Protesters (Belarus),,Protesters,,,NaN,SOLE PROTESTER ACTION,Mogilev,Babruysk,Babruysk,53.1384,29.2214,"On 15 January 2021, people protested in Babruysk, demanding new elections. [size=no report]",0,-1 days +00:00:00.000000000
12,2021-01-15,Protests,Peaceful protest,Protesters (Belarus),,Protesters,,,NaN,SOLE PROTESTER ACTION,Minsk,Minsk,Ratamka,53.9367,27.3477,"On 15 January 2021, people protested in Ratamka, demanding new elections and the stopping of violence. [size=no report]",0,-1 days +00:00:00.000000000
13,2021-01-14,Protests,Protest with intervention,Protesters (Belarus),Women (Belarus),Protesters,Police Forces of Belarus (1994-),,State Forces,MILITARY VERSUS PROTESTERS,Minsk,City of Minsk,Minsk,53.9000,27.5667,"On 14 January 2021, people, including groups of women, protested in several neighborhoods across Minsk, demanding new elections and the stopping of violence. Around seven people were arrested. [size=no report]",0,-1 days +00:00:00.000000000
14,2021-01-14,Protests,Peaceful protest,Protesters (Belarus),,Protesters,,,NaN,SOLE PROTESTER ACTION,Vitebsk,Navapolatsk,Navapolatsk,55.5350,28.6434,"On 14 January 2021, people protested in Navapolatsk, demanding new elections and the stopping of violence. [size=no report]",0,-1 days +00:00:00.000000000
15,2021-01-14,Protests,Peaceful protest,Protesters (Belarus),,Protesters,,,NaN,SOLE PROTESTER ACTION,Gomel,Mazyr,Mazyr,52.0495,29.2456,"On 14 January 2021, people protested in Mazyr, demanding new elections. [size=no report]",0,-9 days +00:00:00.000000000
16,2021-01-14,Protests,Peaceful protest,Protesters (Belarus),,Protesters,,,NaN,SOLE PROTESTER ACTION,Grodno,Hrodna,Grodno,53.6884,23.8258,"On 14 January 2021, people protested in Grodno, demanding regime change and new elections. [size=no report]",0,-1 days +00:00:00.000000000
17,2021-01-14,Protests,Peaceful protest,Protesters (Belarus),,Protesters,,,NaN,SOLE PROTESTER ACTION,Vitebsk,Orsha,Orsha,54.5081,30.4172,"On 14 January 2021, people protested in Orsha, demanding new elections. [size=no report]",0,-11 days +00:00:00.000000000
18,2021-01-14,Protests,Peaceful protest,Protesters (Belarus),,Protesters,,,NaN,SOLE PROTESTER ACTION,Minsk,Dzyarzhynsk,Dzyarzhynsk,53.6832,27.1380,"On 14 January 2021, people protested in Dzyarzhynsk, demanding new elections. [size=no report]",0,-2 days +00:00:00.000000000
19,2021-01-14,Protests,Peaceful protest,Protesters (Belarus),,Protesters,,,NaN,SOLE PROTESTER ACTION,Minsk,Valozhyn,Rakaw,53.9668,27.0526,"On 14 January 2021, people protested in Rakaw, demanding new elections. [size=no report]",0,-30 days +00:00:00.000000000
20,2021-01-14,Protests,Peaceful protest,Protesters (Belarus),,Protesters,,,NaN,SOLE PROTESTER ACTION,Mogilev,Babruysk,Babruysk,53.1384,29.2214,"On 14 January 2021, people protested in Babruysk, demanding new elections. [size=no report]",0,-2 days +00:00:00.000000000
21,2021-01-14,Protests,Peaceful protest,Protesters (Belarus),,Protesters,,,NaN,SOLE PROTESTER ACTION,Minsk,Smalyavichy,Smalyavichy,54.0249,28.0894,"On 14 January 2021, people protested in Smalyavichy, demanding new elections. [size=no report]",0,-11 days +00:00:00.000000000
22,2021-01-14,Protests,Peaceful protest,Protesters (Belarus),,Protesters,,,NaN,SOLE PROTESTER ACTION,Minsk,Minsk,Zaslawye,53.9998,27.2768,"On 14 January 2021, people protested in Zaslawye, demanding new elections. [size=no report]",0,-9 days +00:00:00.000000000
23,2021-01-14,Protests,Peaceful protest,Protesters (Belarus),,Protesters,,,NaN,SOLE PROTESTER ACTION,Vitebsk,Talachyn,Talachyn,54.4087,29.6955,"On 14 January 2021, people protested in Talachyn, demanding new elections. [size=no report]",0,
24,2021-01-14,Protests,Peaceful protest,Protesters (Belarus),,Protesters,,,NaN,SOLE PROTESTER ACTION,Minsk,Lahoysk,Semkovo,54.1662,27.6409,"On 14 January 2021, people protested in Semkovo, demanding new elections. [size=no report]",0,-18 days +00:00:00.000000000
25,2021-01-14,Protests,Peaceful protest,Protesters (Belarus),,Protesters,,,NaN,SOLE PROTESTER ACTION,Minsk,Minsk,Pryluki,53.7938,27.4559,"On 14 January 2021, people protested in Pryluki of the Minsk region, demanding new elections. [size=no report]",0,-15 days +00:00:00.000000000
26,2021-01-14,Protests,Peaceful protest,Protesters (Belarus),,Protesters,,,NaN,SOLE PROTESTER ACTION,Minsk,Minsk,Sienica,53.8237,27.5265,"On 14 January 2021, people protested in Sienica, demanding new elections and the stopping of violence. [size=no report]",0,-4 days +00:00:00.000000000
27,2021-01-14,Protests,Peaceful protest,Protesters (Belarus),,Protesters,,,NaN,SOLE PROTESTER ACTION,Grodno,Lida,Byarozawka,53.7214,25.4986,"On 14 January 2021, people protested in Byarozawka, demanding new elections. [size=no report]",0,-6 days +00:00:00.000000000
28,2021-01-14,Protests,Peaceful protest,Protesters (Belarus),,Protesters,,,NaN,SOLE PROTESTER ACTION,Gomel,Gomel,Gomel,52.4345,30.9754,"On 14 January 2021, people protested in Gomel, demanding new elections and the stopping of violence. [size=no report]",0,-1 days +00:00:00.000000000
29,2021-01-14,Protests,Peaceful protest,Protesters (Belarus),,Protesters,,,NaN,SOLE PROTESTER ACTION,Minsk,Minsk,Ratamka,53.9367,27.3477,"On 14 January 2021, people protested in Ratamka, demanding new elections and the stopping of violence. [size=no report]",0,-4 days +00:00:00.000000000
30,2021-01-14,Protests,Peaceful protest,Protesters (Belarus),,Protesters,,,NaN,SOLE PROTESTER ACTION,Minsk,Barysaw,Barauliany,54.4962,28.3444,"On 14 January 2021, people protested in Barauliany, demanding new elections and the stopping of violence. [size=no report]",0,-4 days +00:00:00.000000000
31,2021-01-14,Protests,Peaceful protest,Protesters (Belarus),,Protesters,,,NaN,SOLE PROTESTER ACTION,Brest,Pruzhany,Pruzhany,52.5560,24.4573,"On 14 January 2021, people protested in Pruzhany, demanding new elections and the stopping of violence. [size=no report]",0,-6 days +00:00:00.000000000
32,2021-01-13,Protests,Peaceful protest,Protesters (Belarus),,Protesters,,,NaN,SOLE PROTESTER ACTION,Minsk,Minsk,Chaciezyna,53.9105,27.3065,"On 13 January 2021, people protested in Chaciezyna, demanding new elections. [size=no report]",0,-1 days +00:00:00.000000000
33,2021-01-13,Protests,Peaceful protest,Protesters (Belarus),,Protesters,,,NaN,SOLE PROTESTER ACTION,Minsk,City of Minsk,Minsk,53.9000,27.5667,"On 13 January 2021, at least 150 people protested in several neighborhoods of Minsk, demanding new elections and the imprisonment of president Lukashenko. [size=at least 150]",0,0 days 00:00:00.000000000
34,2021-01-13,Protests,Peaceful protest,Protesters (Belarus),,Protesters,,,NaN,SOLE PROTESTER ACTION,Gomel,Gomel,Gomel,52.4345,30.9754,"On 13 January 2021, people protested in Gomel, demanding regime change. [size=no report]",0,-4 days +00:00:00.000000000
35,2021-01-13,Protests,Peaceful protest,Protesters (Belarus),,Protesters,,,NaN,SOLE PROTESTER ACTION,Minsk,Vileyka,Vileyka,54.4914,26.9111,"On 13 January 2021, people protested in Vileyka in commemoration of a victim of regime violence Roman Bondarenko. [size=no report]",0,-3 days +00:00:00.000000000
36,2021-01-13,Protests,Peaceful protest,Protesters (Belarus),,Protesters,,,NaN,SOLE PROTESTER ACTION,Vitebsk,Navapolatsk,Navapolatsk,55.5350,28.6434,"On 13 January 2021, people protested in Navapolatsk, demanding regime change. [size=no report]",0,-2 days +00:00:00.000000000
37,2021-01-13,Protests,Protest with intervention,Protesters (Belarus),,Protesters,Police Forces of Belarus (1994-),,State Forces,MILITARY VERSUS PROTESTERS,Grodno,Hrodna,Grodno,53.6884,23.8258,"On 13 January 2021, between 50 and 100 people protested in Grodno in commemoration of a victim of regime violence Roman Bondarenko. Around 6 people were arrested. [size=50-100]",0,-1 days +00:00:00.000000000
38,2021-01-13,Protests,Peaceful protest,Protesters (Belarus),,Protesters,,,NaN,SOLE PROTESTER ACTION,Brest,Baranovichy,Baranovichi,53.1327,26.0139,"On 13 January 2021, people protested in Baranovichi, demanding the release of a blogger. [size=no report]",0,-1 days +00:00:00.000000000
39,2021-01-13,Protests,Peaceful protest,Protesters (Belarus),,Protesters,,,NaN,SOLE PROTESTER ACTION,Minsk,City of Minsk,Minsk,53.9000,27.5667,"On 13 January 2021, people protested in at least two locations in Minsk, demanding the release of a blogger. [size=no report]",0,-1 days +00:00:00.000000000
40,2021-01-12,Protests,Peaceful protest,Protesters (Belarus),,Protesters,,,NaN,SOLE PROTESTER ACTION,Minsk,Minsk,Chaciezyna,53.9105,27.3065,"On 12 January 2021, people protested in Chaciezyna, demanding new elections. [size=no report]",0,-2 days +00:00:00.000000000
41,2021-01-12,Protests,Protest with intervention,Protesters (Belarus),,Protesters,Police Forces of Belarus (1994-),,State Forces,MILITARY VERSUS PROTESTERS,Grodno,Hrodna,Grodno,53.6884,23.8258,"On 12 January 2021, people protested in Grodno, demanding new elections and prosecution of regime violence. Police conducted around 20 arrests. [size=no report]",0,0 days 00:00:00.000000000
42,2021-01-12,Protests,Peaceful protest,Protesters (Belarus),,Protesters,,,NaN,SOLE PROTESTER ACTION,Minsk,City of Minsk,Minsk,53.9000,27.5667,"On 12 January 2021, people protested in several neighborhoods of Minsk, demanding new elections and commemorating a victim of regime violence Roman Bondarenko. [size=no report]",0,-1 days +00:00:00.000000000
43,2021-01-12,Protests,Peaceful protest,Protesters (Belarus),,Protesters,,,NaN,SOLE PROTESTER ACTION,Brest,Baranovichy,Baranovichi,53.1327,26.0139,"On 12 January 2021, people protested in Baranovichi, demanding regime change. [size=no report]",0,-12 days +00:00:00.000000000
44,2021-01-12,Protests,Peaceful protest,Protesters (Belarus),,Protesters,,,NaN,SOLE PROTESTER ACTION,Grodno,Hrodna,Skiedziel,53.5866,24.2482,"On 12 January 2021, people protested in Skiedziel, demanding new elections. [size=no report]",0,-3 days +00:00:00.000000000
45,2021-01-12,Protests,Peaceful protest,Protesters (Belarus),,Protesters,,,NaN,SOLE PROTESTER ACTION,Minsk,Chervyen,Chervyen,53.7059,28.4313,"On 12 January 2021, people protested in Chervyen, demanding Lukashenko's resignation, repeated elections, and the release of all political prisoners. [size=no report]",0,
46,2021-01-12,Protests,Peaceful protest,Protesters (Belarus),,Protesters,,,NaN,SOLE PROTESTER ACTION,Mogilev,Babruysk,Babruysk,53.1384,29.2214,"On 12 January 2021, people protested in Babruysk, demanding new elections. [size=no report]",0,-2 days +00:00:00.000000000
47,2021-01-12,Protests,Peaceful protest,Protesters (Belarus),,Protesters,,,NaN,SOLE PROTESTER ACTION,Minsk,Dzyarzhynsk,Dzyarzhynsk,53.6832,27.1380,"On 12 January 2021, people protested in Dzyarzhynsk, demanding new elections. [size=no report]",0,-2 days +00:00:00.000000000
48,2021-01-12,Protests,Peaceful protest,Protesters (Belarus),,Protesters,,,NaN,SOLE PROTESTER ACTION,Grodno,Hrodna,Grodno,53.6884,23.8258,"On 12 January 2021, people protested in Grodno, demanding new elections. [size=no report]",0,-1 days +00:00:00.000000000
49,2021-01-12,Protests,Peaceful protest,Protesters (Belarus),,Protesters,,,NaN,SOLE PROTESTER ACTION,Minsk,Kopisca,Kopisca,53.9583,27.6711,"On 12 January 2021, people protested in Kopisca, demanding new elections. [size=no report]",0,-71 days +00:00:00.000000000
50,2021-01-12,Protests,Peaceful protest,Protesters (Belarus),,Protesters,,,NaN,SOLE PROTESTER ACTION,Minsk,City of Minsk,Minsk-Frunzenski,53.9006,27.4950,"On 12 January 2021, people protested in Minsk-Frunzenski against the organization of the world's ice hockey championship in the country. [size=no report]",0,-113 days +00:00:00.000000000
51,2021-01-12,Protests,Peaceful protest,Protesters (Belarus),,Protesters,,,NaN,SOLE PROTESTER ACTION,Minsk,Smalyavichy,Slabada,54.0093,27.8819,"On 12 January 2021, people protested in Slabada of the Minsk region, demanding regime change. [size=no report]",0,-31 days +00:00:00.000000000
52,2021-01-12,Protests,Peaceful protest,Protesters (Belarus),,Protesters,,,NaN,SOLE PROTESTER ACTION,Minsk,Smalyavichy,Zhodzina,54.0999,28.3392,"On 12 January 2021, people protested in Zhodzina in commemoration of a victim of regime violence Roman Bondarenko, demanding prosecution. [size=no report]",0,-1 days +00:00:00.000000000
53,2021-01-11,Protests,Peaceful protest,Protesters (Belarus),Labour Group (Belarus),Protesters,,,NaN,SOLE PROTESTER ACTION,Grodno,Hrodna,Grodno,53.6884,23.8258,"On 11 January 2021, pensioners protested in Grodno, demanding new elections and the stopping of violence. [size=no report]",0,-1 days +00:00:00.000000000
54,2021-01-11,Protests,Peaceful protest,Protesters (Belarus),Labour Group (Belarus),Protesters,,,NaN,SOLE PROTESTER ACTION,Minsk,City of Minsk,Minsk,53.9000,27.5667,"On 11 January 2021, people, including groups of pensioners, protested in Minsk, demanding new elections and the stopping of violence. [size=no report]",0,-1 days +00:00:00.000000000
55,2021-01-11,Protests,Peaceful protest,Protesters (Belarus),,Protesters,,,NaN,SOLE PROTESTER ACTION,Mogilev,Mogilev,Mogilev,53.9168,30.3449,"On 11 January 2021, people protested in Mogilev against regime violence. [size=no report]",0,-1 days +00:00:00.000000000
56,2021-01-11,Protests,Peaceful protest,Protesters (Belarus),,Protesters,,,NaN,SOLE PROTESTER ACTION,Vitebsk,Navapolatsk,Navapolatsk,55.5350,28.6434,"On 11 January 2021, people protested in Navapolatsk against president Lukashenko and the organization of the world's ice hockey championship in the country. [size=no report]",0,-7 days +00:00:00.000000000
57,2021-01-11,Protests,Peaceful protest,Protesters (Belarus),,Protesters,,,NaN,SOLE PROTESTER ACTION,Minsk,Smalyavichy,Zhodzina,54.0999,28.3392,"On 11 January 2021, people protested in Zhodzina, demanding new elections. [size=no report]",0,-1 days +00:00:00.000000000
58,2021-01-11,Protests,Peaceful protest,Protesters (Belarus),,Protesters,,,NaN,SOLE PROTESTER ACTION,Grodno,Lida,Lida,53.8833,25.2997,"On 11 January 2021, people protested in Lida, demanding new elections. [size=no report]",0,-2 days +00:00:00.000000000
59,2021-01-10,Protests,Peaceful protest,Protesters (Belarus),,Protesters,,,NaN,SOLE PROTESTER ACTION,Brest,Brest,Brest,52.0975,23.6878,"On 10 January 2021, people protested in Brest in support of the police forces. [size=no report]",0,0 days 00:00:00.000000000
60,2021-01-10,Protests,Peaceful protest,Protesters (Belarus),,Protesters,,,NaN,SOLE PROTESTER ACTION,Brest,Brest,Brest,52.0975,23.6878,"On 10 January 2021, people protested in Brest, demanding new elections. [size=no report]",0,-1 days +00:00:00.000000000
61,2021-01-10,Protests,Peaceful protest,Protesters (Belarus),,Protesters,,,NaN,SOLE PROTESTER ACTION,Minsk,Minsk,Chaciezyna,53.9105,27.3065,"On 10 January 2021, people protested in Chaciezyna, demanding new elections. [size=no report]",0,-22 days +00:00:00.000000000
62,2021-01-10,Protests,Peaceful protest,Protesters (Belarus),,Protesters,,,NaN,SOLE PROTESTER ACTION,Grodno,Hrodna,Grodno,53.6884,23.8258,"On 10 January 2021, people protested in Grodno in support of the police forces. [size=no report]",0,0 days 00:00:00.000000000
63,2021-01-10,Protests,Peaceful protest,Protesters (Belarus),,Protesters,,,NaN,SOLE PROTESTER ACTION,Minsk,Maladzyechna,Maladzyechna,54.3167,26.8540,"On 10 January 2021, people protested in Maladzyechna, demanding new elections. [size=no report]",0,-13 days +00:00:00.000000000
64,2021-01-10,Protests,Protest with intervention,Protesters (Belarus),,Protesters,Police Forces of Belarus (1994-),,State Forces,MILITARY VERSUS PROTESTERS,Minsk,City of Minsk,Minsk,53.9000,27.5667,"On 10 January 2021, around 1000 people protested across Minsk, demanding new elections and the stopping of police violence. Around 19 people were arrested. [size=around 1000]",0,-1 days +00:00:00.000000000
65,2021-01-10,Protests,Peaceful protest,Protesters (Belarus),,Protesters,,,NaN,SOLE PROTESTER ACTION,Minsk,City of Minsk,Minsk-Pershamayski,53.9348,27.6634,"On 10 January 2021, people protested in Minsk-Pershamayski in support of the police forces. [size=no report]",0,-6 days +00:00:00.000000000
66,2021-01-10,Protests,Peaceful protest,Protesters (Belarus),,Protesters,,,NaN,SOLE PROTESTER ACTION,Mogilev,Mogilev,Mogilev,53.9168,30.3449,"On 10 January 2021, people protested in Mogilev, demanding new elections. [size=no report]",0,-5 days +00:00:00.000000000
67,2021-01-10,Protests,Peaceful protest,Protesters (Belarus),,Protesters,,,NaN,SOLE PROTESTER ACTION,Grodno,Navahrudak,Navahrudak,53.5942,25.8191,"On 10 January 2021, people protested in Navahrudak, demanding new elections and regime change. [size=no report]",0,-2 days +00:00:00.000000000
68,2021-01-10,Protests,Peaceful protest,Protesters (Belarus),,Protesters,,,NaN,SOLE PROTESTER ACTION,Vitebsk,Vitebsk,Vitebsk,55.1904,30.2049,"On 10 January 2021, people protested in Vitebsk, demanding new elections. [size=no report]",0,-2 days +00:00:00.000000000
69,2021-01-10,Protests,Peaceful protest,Protesters (Belarus),,Protesters,,,NaN,SOLE PROTESTER ACTION,Minsk,Smalyavichy,Zhodzina,54.0999,28.3392,"On 10 January 2021, people protested in Zhodzina, demanding new elections. [size=no report]",0,-1 days +00:00:00.000000000
70,2021-01-10,Protests,Peaceful protest,Protesters (Belarus),,Protesters,,,NaN,SOLE PROTESTER ACTION,Minsk,Minsk,Sienica,53.8237,27.5265,"On 10 January 2021, people protested in Sienica, demanding new elections. [size=no report]",0,-5 days +00:00:00.000000000
71,2021-01-10,Protests,Peaceful protest,Protesters (Belarus),,Protesters,,,NaN,SOLE PROTESTER ACTION,Gomel,Svietlahorsk,Svietlahorsk,52.6329,29.7389,"On 10 January 2021, people protested in Svietlahorsk, demanding new elections. [size=no report]",0,-4 days +00:00:00.000000000
72,2021-01-10,Protests,Peaceful protest,Protesters (Belarus),,Protesters,,,NaN,SOLE PROTESTER ACTION,Minsk,Minsk,Ratamka,53.9367,27.3477,"On 10 January 2021, people protested in Ratamka in support of the victims of regime violence. [size=no report]",0,-8 days +00:00:00.000000000
73,2021-01-10,Protests,Peaceful protest,Protesters (Belarus),,Protesters,,,NaN,SOLE PROTESTER ACTION,Minsk,Dzyarzhynsk,Fanipol,53.7465,27.3340,"On 10 January 2021, people protested in Fanipol, demanding new elections. [size=no report]",0,-14 days +00:00:00.000000000
74,2021-01-10,Protests,Peaceful protest,Protesters (Belarus),,Protesters,,,NaN,SOLE PROTESTER ACTION,Minsk,Myadzyel,Myadzyel,54.8789,26.9371,"On 10 January 2021, people protested in Myadzyel, demanding new elections. [size=no report]",0,-35 days +00:00:00.000000000
75,2021-01-10,Protests,Peaceful protest,Protesters (Belarus),,Protesters,,,NaN,SOLE PROTESTER ACTION,Minsk,Vileyka,Vileyka,54.4914,26.9111,"On 10 January 2021, people protested in Vileyka, demanding new elections. [size=no report]",0,-2 days +00:00:00.000000000
76,2021-01-10,Protests,Peaceful protest,Protesters (Belarus),,Protesters,,,NaN,SOLE PROTESTER ACTION,Mogilev,Babruysk,Babruysk,53.1384,29.2214,"On 10 January 2021, people protested in Babruysk, demanding new elections. [size=no report]",0,-2 days +00:00:00.000000000
77,2021-01-10,Protests,Peaceful protest,Protesters (Belarus),,Protesters,,,NaN,SOLE PROTESTER ACTION,Minsk,Minsk,Scomyslica,53.8240,27.4504,"On 10 January 2021, people protested in Scomyslica, demanding new elections. [size=no report]",0,-21 days +00:00:00.000000000
78,2021-01-10,Protests,Peaceful protest,Protesters (Belarus),,Protesters,,,NaN,SOLE PROTESTER ACTION,Minsk,Barysaw,Barauliany,54.4962,28.3444,"On 10 January 2021, people protested in Barauliany, demanding new elections. [size=no report]",0,-11 days +00:00:00.000000000
79,2021-01-10,Protests,Peaceful protest,Protesters (Belarus),,Protesters,,,NaN,SOLE PROTESTER ACTION,Minsk,Minsk,Zdanovicy,53.9465,27.4238,"On 10 January 2021, people protested in Zdanovicy, demanding new elections. [size=no report]",0,-14 days +00:00:00.000000000
80,2021-01-10,Protests,Peaceful protest,Protesters (Belarus),,Protesters,,,NaN,SOLE PROTESTER ACTION,Minsk,Dzyarzhynsk,Dzyarzhynsk,53.6832,27.1380,"On 10 January 2021, people protested in Dzyarzhynsk, demanding new elections. [size=no report]",0,-1 days +00:00:00.000000000
81,2021-01-10,Protests,Peaceful protest,Protesters (Belarus),,Protesters,,,NaN,SOLE PROTESTER ACTION,Minsk,Minsk,Drozdava,53.9866,27.6157,"On 10 January 2021, people protested in Drozdava, demanding new elections. [size=no report]",0,-21 days +00:00:00.000000000
82,2021-01-10,Protests,Peaceful protest,Protesters (Belarus),,Protesters,,,NaN,SOLE PROTESTER ACTION,Grodno,Hrodna,Grodno,53.6884,23.8258,"On 10 January 2021, people protested in Grodno, demanding new elections. [size=no report]",0,-1 days +00:00:00.000000000
83,2021-01-09,Protests,Peaceful protest,Protesters (Belarus),,Protesters,,,NaN,SOLE PROTESTER ACTION,Brest,Brest,Brest,52.0975,23.6878,"On 9 January 2021, people protested in Brest, demanding new elections. [size=no report]",0,-4 days +00:00:00.000000000
84,2021-01-09,Protests,Peaceful protest,Protesters (Belarus),,Protesters,,,NaN,SOLE PROTESTER ACTION,Grodno,Hrodna,Grodno,53.6884,23.8258,"On 9 January 2021, people protested in Grodno, demanding new elections. [size=no report]",0,-1 days +00:00:00.000000000
85,2021-01-09,Protests,Peaceful protest,Protesters (Belarus),,Protesters,,,NaN,SOLE PROTESTER ACTION,Minsk,City of Minsk,Minsk,53.9000,27.5667,"On 9 January 2021, hundreds of people protested in several neighborhoods of Minsk, demanding new elections and the stopping of regime violence and persecution. [size=hundreds]",0,-1 days +00:00:00.000000000
86,2021-01-09,Protests,Peaceful protest,Protesters (Belarus),,Protesters,,,NaN,SOLE PROTESTER ACTION,Minsk,Dzyarzhynsk,Dzyarzhynsk,53.6832,27.1380,"On 9 January 2021, people protested in Dzyarzhynsk, demanding new elections. [size=no report]",0,-1 days +00:00:00.000000000
87,2021-01-09,Protests,Peaceful protest,Protesters (Belarus),,Protesters,,,NaN,SOLE PROTESTER ACTION,Grodno,Lida,Lida,53.8833,25.2997,"On 9 January 2021, people protested in Lida, demanding new elections and rejecting the organization of the world's ice hockey championship in the country. [size=no report]",0,-5 days +00:00:00.000000000
88,2021-01-09,Protests,Peaceful protest,Protesters (Belarus),,Protesters,,,NaN,SOLE PROTESTER ACTION,Minsk,Smalyavichy,Zhodzina,54.0999,28.3392,"On 9 January 2021, people protested in Zhodzina, demanding new elections. [size=no report]",0,-4 days +00:00:00.000000000
89,2021-01-09,Protests,Peaceful protest,Protesters (Belarus),,Protesters,,,NaN,SOLE PROTESTER ACTION,Minsk,Salihorsk,Salihorsk,52.7876,27.5415,"On 9 January 2021, people protested in Salihorsk in solidarity with the national protest movement. [size=no report]",0,-11 days +00:00:00.000000000
90,2021-01-09,Protests,Peaceful protest,Protesters (Belarus),,Protesters,,,NaN,SOLE PROTESTER ACTION,Gomel,Gomel,Gomel,52.4345,30.9754,"On 9 January 2021, people protested in Gomel, demanding new elections. [size=no report]",0,-4 days +00:00:00.000000000
91,2021-01-09,Protests,Peaceful protest,Protesters (Belarus),,Protesters,,,NaN,SOLE PROTESTER ACTION,Grodno,Hrodna,Skiedziel,53.5866,24.2482,"On 9 January 2021, people protested in Skiedziel, demanding new elections. [size=no report]",0,-1 days +00:00:00.000000000
92,2021-01-08,Protests,Peaceful protest,Protesters (Belarus),,Protesters,,,NaN,SOLE PROTESTER ACTION,Vitebsk,Vitebsk,Vitebsk,55.1904,30.2049,"On 8 January 2021, people protested in Vitebsk, demanding regime change and new elections. [size=no report]",0,-3 days +00:00:00.000000000
93,2021-01-08,Protests,Peaceful protest,Protesters (Belarus),,Protesters,,,NaN,SOLE PROTESTER ACTION,Mogilev,Babruysk,Babruysk,53.1384,29.2214,"On 8 January 2021, people protested in Babruysk, demanding regime change and new elections. [size=no report]",0,-4 days +00:00:00.000000000
94,2021-01-08,Protests,Peaceful protest,Protesters (Belarus),,Protesters,,,NaN,SOLE PROTESTER ACTION,Minsk,Dzyarzhynsk,Dzyarzhynsk,53.6832,27.1380,"On 8 January 2021, people protested in Dzyarzhynsk, demanding regime change and new elections. [size=no report]",0,-2 days +00:00:00.000000000
95,2021-01-08,Protests,Peaceful protest,Protesters (Belarus),,Protesters,,,NaN,SOLE PROTESTER ACTION,Brest,Pruzhany,Pruzhany,52.5560,24.4573,"On 8 January 2021, people protested in Pruzhany, demanding regime change and new elections. [size=no report]",0,-3 days +00:00:00.000000000
96,2021-01-08,Protests,Peaceful protest,Protesters (Belarus),,Protesters,,,NaN,SOLE PROTESTER ACTION,Minsk,City of Minsk,Minsk,53.9000,27.5667,"On 8 January 2021, people protested across Minsk, demanding regime change and new elections. [size=no report]",0,-1 days +00:00:00.000000000
